Common garden,Provenance,R (bloc no),Longitude,Latitude,Plot size in meters,Stem survival-1976,Stem survival-1977,Stem survival-1978,Stem survival-1979,Stem survival-1980,Stem survival-1981,Stem survival-1982,Stem survival-1983,Stem survival-1984,Stem survival-1985,Stem survival-1986,Stem survival-1987,Stem survival-1988,Stem survival-1989,Stem survival-1990,Stem survival-1991,Stem survival-1992,Stem survival-1993,Stem survival-1994,Stem survival-1995,Stem survival-1996,Stem survival-1997,Stem survival-1998,Stem survival-1999,Stem survival-2000,Stem survival-2001,Stem survival-2002,Stem survival-2003,Stem survival-2004,Stem survival-2005,Stem survival-2006,Stem survival-2007,Stem survival-2008,Stem survival-2009,Stem survival-2010,Stem survival-2011,Stem survival-2012,Stem survival-2013,Stem survival-2014,Stem survival-2015,Stem survival-2016,Stem survival-2017,NPP-1976,NPP-1977,NPP-1978,NPP-1979,NPP-1980,NPP-1981,NPP-1982,NPP-1983,NPP-1984,NPP-1985,NPP-1986,NPP-1987,NPP-1988,NPP-1989,NPP-1990,NPP-1991,NPP-1992,NPP-1993,NPP-1994,NPP-1995,NPP-1996,NPP-1997,NPP-1998,NPP-1999,NPP-2000,NPP-2001,NPP-2002,NPP-2003,NPP-2004,NPP-2005,NPP-2006,NPP-2007,NPP-2008,NPP-2009,NPP-2010,NPP-2011,NPP-2012,NPP-2013,NPP-2014,NPP-2015,NPP-2016
Chibougamau,369,5,-64.65,48.88333333,92.16,na,na,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,na,na,0,0,0,0,0.001447414,0.001456533,0.004025264,0.00789335,0.012693452,0.023014915,0.034974434,0.049036402,0.057659663,0.069872897,0.065999545,0.086977518,0.092716361,0.113981145,0.116081381,0.131753599,0.122880472,0.128549006,0.127251072,0.131119122,0.11706577,0.097816343,0.093603782,0.098880153,0.109722635,0.11052069,0.103473902,0.086316407,0.086825848,0.083803116,0.074848503,0.073089032,0.051116429,0.050830526,0.048192207
Chibougamau,1329,3,-62.85,46.05,92.16,na,na,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,na,na,0,0,0,0,0,0.00231104,0.006107266,0.013806724,0.017948075,0.030773231,0.046147976,0.061635943,0.07870947,0.101526585,0.09016525,0.127352091,0.123012653,0.161289511,0.196430519,0.162812215,0.159786578,0.172663847,0.164523156,0.192932515,0.181273854,0.159275909,0.13327329,0.137250804,0.154123707,0.155636968,0.142125005,0.132781087,0.155055466,0.168450225,0.155784453,0.15190526,0.121956092,0.129639363,0.10714396
Chibougamau,1329,4,-62.85,46.05,92.16,na,na,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,13,13,12,12,12,11,11,na,na,0,0,0,0,0.004403332,0.016815947,0.036147612,0.041842692,0.049553959,0.080638433,0.090716361,0.106329811,0.108965094,0.119735592,0.106664949,0.130724268,0.124976237,0.146025146,0.180651829,0.153511149,0.143980411,0.168178281,0.15424968,0.167415724,0.166974482,0.127766994,0.126498997,0.121405919,0.138226761,0.135986773,0.119986207,0.104849087,0.099909911,0.105037461,0.088104251,0.079308638,0.067472209,0.064141091,0.06814478
Chibougamau,1329,5,-62.85,46.05,92.16,na,na,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,13,13,13,na,na,0,0,0.002458533,0.010477352,0.020128823,0.042104136,0.06784173,0.084642338,0.114794134,0.137868245,0.145249258,0.1871149,0.170674262,0.208956116,0.197955057,0.210203928,0.221526998,0.263961744,0.33608026,0.299320748,0.28895822,0.302410789,0.288859158,0.313793175,0.3036663,0.260359028,0.243721141,0.241751901,0.268491433,0.235694966,0.207442713,0.196035842,0.180965477,0.193356664,0.154720803,0.132083011,0.128426847,0.128678434,0.123207397
Chibougamau,1528,3,-67.16666667,46.83333333,92.16,na,na,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,na,na,0,0,0,0,0,0.002973878,0.014386251,0.023385731,0.029431192,0.052193225,0.065290338,0.084112347,0.096008252,0.121132627,0.104147129,0.141727357,0.120293816,0.159853988,0.193921896,0.200965576,0.192631397,0.186497607,0.181946447,0.202338252,0.191283641,0.183533828,0.167755255,0.161708441,0.193453884,0.167153725,0.156354548,0.114628028,0.141832773,0.146043448,0.134919304,0.145777424,0.11116054,0.130661143,0.102675057
Chibougamau,1528,4,-67.16666667,46.83333333,92.16,na,na,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,11,11,10,10,9,9,8,8,na,na,0,0,0,0.004274365,0.008150442,0.019348514,0.033535684,0.041243933,0.053920941,0.076003393,0.09190919,0.1093515,0.103496964,0.118352323,0.109643633,0.129286899,0.121051225,0.146577073,0.17412994,0.167991055,0.164043138,0.158896163,0.159534982,0.166346364,0.150214643,0.143465531,0.130773725,0.113221828,0.140746182,0.158686712,0.132754408,0.12447354,0.117855051,0.105718417,0.077126765,0.06357274,0.051457301,0.04356241,0.040470638
Chibougamau,1528,5,-67.16666667,46.83333333,92.16,na,na,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,13,13,13,na,na,0,0,0.0027639,0.00653696,0.010257973,0.018931185,0.030264117,0.036853998,0.038363005,0.064628731,0.086759602,0.098502753,0.100291529,0.120980169,0.117528875,0.137454535,0.122740371,0.191696257,0.196888431,0.184275175,0.172539878,0.172769194,0.165967094,0.194302483,0.196206652,0.15209719,0.150145921,0.137217611,0.146557472,0.142954695,0.124565162,0.129942323,0.140039247,0.134756747,0.145630591,0.144325246,0.098387006,0.118081715,0.113326487
Chibougamau,1530,3,-60.16666667,45.93333333,92.16,na,na,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,na,na,0,0,0,0.003474162,0.004092448,0.011247211,0.019250182,0.021382666,0.020159652,0.033865747,0.046014777,0.064052186,0.077743112,0.091577625,0.084197085,0.109687686,0.101336257,0.136318204,0.155733816,0.158993821,0.137301245,0.131891863,0.128063561,0.130961171,0.125672004,0.091422527,0.089849224,0.101915773,0.107366114,0.117432958,0.108292738,0.096053998,0.086663134,0.094520646,0.09102112,0.081654629,0.065557747,0.071418831,0.066546402
Chibougamau,1530,4,-60.16666667,45.93333333,92.16,na,na,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,13,13,13,13,13,13,na,na,0,0,0,0,0,0.001428498,0.004337132,0.01365172,0.026673723,0.038016913,0.053033774,0.068434054,0.079072505,0.100688334,0.092429347,0.11455693,0.121131605,0.158453999,0.170453044,0.157891553,0.162387823,0.162265934,0.156800946,0.175750806,0.159415368,0.135622459,0.128629396,0.140595639,0.147539676,0.1550223,0.148767328,0.124428582,0.129721836,0.131023818,0.109811517,0.11972751,0.103368831,0.124796356,0.103286366
Chibougamau,1530,5,-60.16666667,45.93333333,92.16,na,na,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,na,na,0,0,0,0.007566667,0.009341057,0.023557917,0.033610536,0.036146794,0.044081786,0.063668782,0.079285973,0.090262536,0.0974232,0.096012768,0.083078088,0.103802391,0.102043088,0.13832208,0.142093014,0.128830254,0.125020705,0.145191556,0.141391863,0.139588778,0.140855,0.098016897,0.100928755,0.096047322,0.103985944,0.097972013,0.09235825,0.077962899,0.068246334,0.073606003,0.053107807,0.060455154,0.049841655,0.045402032,0.047076926
