Common garden,Prov,Bloc,MATp,MAPp,GDD5p,Latitude,Longitude,sf1,sf2,sf3,sf4,sf5,Geno_EST.pb,Geno_OUEST.pb,Geno_CENTRE.pb
Mont-Laurier,4353,3,2.987026667,780.8814667,1636.2872,47.7,-91.3,0.2247843,-0.051494664,0.030154442,0.204122625,0.103521743,0.085666667,0.013166667,0.901333333
Mont-Laurier,4353,4,2.987026667,780.8814667,1636.2872,47.7,-91.3,0.2247843,-0.051494664,0.030154442,0.204122625,0.103521743,0.092333333,0.068,0.84
Mont-Laurier,4353,6,2.987026667,780.8814667,1636.2872,47.7,-91.3,0.2247843,-0.051494664,0.030154442,0.204122625,0.103521743,0.060333333,0.0085,0.9315
Mont-Laurier,4360,3,4.964986667,1081.622773,1742.277067,45.5,-68.8,-0.145693466,0.046676718,-0.128122224,0.122616766,-0.097331743,0.838333333,0.006166667,0.155833333
Mont-Laurier,4360,4,4.964986667,1081.622773,1742.277067,45.5,-68.8,-0.145693466,0.046676718,-0.128122224,0.122616766,-0.097331743,0.813333333,0.0085,0.177666667
Mont-Laurier,4360,6,4.964986667,1081.622773,1742.277067,45.5,-68.8,-0.145693466,0.046676718,-0.128122224,0.122616766,-0.097331743,0.669833333,0.004333333,0.326
Mont-Laurier,6801,3,4.78295,1353.164,1225.13692,47.33333333,-53.11666667,-0.100013098,-0.247532964,0.264783434,-0.21447988,0.22453097,0.776166667,0.006,0.217
Mont-Laurier,6801,4,4.78295,1353.164,1225.13692,47.33333333,-53.11666667,-0.100013098,-0.247532964,0.264783434,-0.21447988,0.22453097,0.7835,0.022666667,0.193833333
Mont-Laurier,6801,6,4.78295,1353.164,1225.13692,47.33333333,-53.11666667,-0.100013098,-0.247532964,0.264783434,-0.21447988,0.22453097,0.876833333,0.008666667,0.114666667
Mont-Laurier,6802,3,4.59527,1353.334067,1251.19916,48.21666667,-58.91666667,-0.148309615,-0.235793613,0.232831085,-0.095136532,0.093298379,0.890166667,0.007666667,0.102166667
Mont-Laurier,6802,4,4.59527,1353.334067,1251.19916,48.21666667,-58.91666667,-0.148309615,-0.235793613,0.232831085,-0.095136532,0.093298379,0.764666667,0.008166667,0.227
Mont-Laurier,6802,6,4.59527,1353.334067,1251.19916,48.21666667,-58.91666667,-0.148309615,-0.235793613,0.232831085,-0.095136532,0.093298379,0.836333333,0.0115,0.1525
Mont-Laurier,6804,3,1.971016667,970.0670967,975.10091,50.9,-56.1,-0.120903131,-0.248498226,0.268556457,-0.186372393,0.233268375,0.801166667,0.004166667,0.194666667
Mont-Laurier,6804,4,1.971016667,970.0670967,975.10091,50.9,-56.1,-0.120903131,-0.248498226,0.268556457,-0.186372393,0.233268375,0.63,0.008333333,0.362
Mont-Laurier,6804,6,1.971016667,970.0670967,975.10091,50.9,-56.1,-0.120903131,-0.248498226,0.268556457,-0.186372393,0.233268375,0.709833333,0.010166667,0.279666667
Mont-Laurier,6805,3,-0.111033333,964.92828,996.41766,53.41666667,-60.38333333,-0.131643479,-0.188710605,0.17069523,-0.096091529,0.143927849,0.455166667,0.014333333,0.530333333
Mont-Laurier,6805,4,-0.111033333,964.92828,996.41766,53.41666667,-60.38333333,-0.131643479,-0.188710605,0.17069523,-0.096091529,0.143927849,0.313166667,0.0515,0.634833333
Mont-Laurier,6805,6,-0.111033333,964.92828,996.41766,53.41666667,-60.38333333,-0.131643479,-0.188710605,0.17069523,-0.096091529,0.143927849,0.625,0.0365,0.3385
Mont-Laurier,6901,3,4.068303333,830.6847,1668.1322,45.16666667,-77.16666667,-0.001258846,0.215428828,0.056382449,-0.138415299,0.010407921,0.3315,0.013166667,0.655166667
Mont-Laurier,6901,4,4.068303333,830.6847,1668.1322,45.16666667,-77.16666667,-0.001258846,0.215428828,0.056382449,-0.138415299,0.010407921,0.3952,0.0104,0.5944
Mont-Laurier,6901,6,4.068303333,830.6847,1668.1322,45.16666667,-77.16666667,-0.001258846,0.215428828,0.056382449,-0.138415299,0.010407921,0.1825,0.013,0.804666667
Mont-Laurier,6907,3,1.447556667,877.4167833,1426.4871,48.53333333,-81.41666667,0.084512153,0.205718881,0.189339185,-0.122103007,-0.183564311,0.1348,0.027,0.8386
Mont-Laurier,6907,4,1.447556667,877.4167833,1426.4871,48.53333333,-81.41666667,0.084512153,0.205718881,0.189339185,-0.122103007,-0.183564311,0.1305,0.009333333,0.860166667
Mont-Laurier,6907,6,1.447556667,877.4167833,1426.4871,48.53333333,-81.41666667,0.084512153,0.205718881,0.189339185,-0.122103007,-0.183564311,0.0735,0.005833333,0.920833333
Mont-Laurier,6909,3,0.197376667,779.8053733,1224.10818,49.75,-85.08333333,0.148530685,0.115827121,0.190689527,0.010217014,-0.214629899,0.1748,0.076,0.7494
Mont-Laurier,6909,4,0.197376667,779.8053733,1224.10818,49.75,-85.08333333,0.148530685,0.115827121,0.190689527,0.010217014,-0.214629899,0.108166667,0.008666667,0.883333333
Mont-Laurier,6909,6,0.197376667,779.8053733,1224.10818,49.75,-85.08333333,0.148530685,0.115827121,0.190689527,0.010217014,-0.214629899,0.095,0.013666667,0.8915
Mont-Laurier,6914,3,0.02569,835.7725133,1183.240117,48.63333333,-85.33333333,0.155294469,0.114056191,0.202872051,0.0344758,-0.227307124,0.0386,0.027,0.9342
Mont-Laurier,6914,4,0.02569,835.7725133,1183.240117,48.63333333,-85.33333333,0.155294469,0.114056191,0.202872051,0.0344758,-0.227307124,0.066166667,0.009833333,0.923666667
Mont-Laurier,6914,6,0.02569,835.7725133,1183.240117,48.63333333,-85.33333333,0.155294469,0.114056191,0.202872051,0.0344758,-0.227307124,0.249,0.0114,0.7398
Mont-Laurier,6917,3,0.77235,782.1658467,1321.499873,49,-90.45,0.218761476,-0.034345243,0.042655011,0.179626228,0.07972675,0.069,0.0212,0.9096
Mont-Laurier,6917,4,0.77235,782.1658467,1321.499873,49,-90.45,0.218761476,-0.034345243,0.042655011,0.179626228,0.07972675,0.1535,0.026833333,0.819833333
Mont-Laurier,6917,6,0.77235,782.1658467,1321.499873,49,-90.45,0.218761476,-0.034345243,0.042655011,0.179626228,0.07972675,0.201,0.012333333,0.786166667
Mont-Laurier,6922,3,1.00942,706.5634867,1484.81966,50.25,-91.66666667,0.220021794,-0.067365615,-0.027871136,0.137520384,0.138462775,0.0916,0.0804,0.8282
Mont-Laurier,6922,4,1.00942,706.5634867,1484.81966,50.25,-91.66666667,0.220021794,-0.067365615,-0.027871136,0.137520384,0.138462775,0.194,0.011,0.795
Mont-Laurier,6922,6,1.00942,706.5634867,1484.81966,50.25,-91.66666667,0.220021794,-0.067365615,-0.027871136,0.137520384,0.138462775,0.0365,0.010166667,0.9535
Mont-Laurier,6927,3,1.102486667,629.4140633,1504.546003,50.83333333,-94.28333333,0.218650827,-0.120162929,-0.139726938,0.050263863,0.17652669,0.0372,0.0288,0.9342
Mont-Laurier,6927,4,1.102486667,629.4140633,1504.546003,50.83333333,-94.28333333,0.218650827,-0.120162929,-0.139726938,0.050263863,0.17652669,0.0398,0.0148,0.9456
Mont-Laurier,6927,6,1.102486667,629.4140633,1504.546003,50.83333333,-94.28333333,0.218650827,-0.120162929,-0.139726938,0.050263863,0.17652669,0.065833333,0.033833333,0.9
Mont-Laurier,6930,3,2.48659,698.2746733,1645.4495,48.8,-93.66666667,0.226846283,-0.105373474,-0.088180019,0.124840274,0.184290024,0.2035,0.086166667,0.710333333
