Common garden,Prov,xVar,Value,Std.Error,DF,tvalue,p-value,var
Chibougamau,Prov6965,SpringSMI,-0.00066359,0.000405495,96,-1.636495947,0.105010183,XSpringSMI
Chibougamau,Prov6965,SummerSMI,-0.000246312,0.000608172,96,-0.40500312,0.686376288,XSummerSMI
Chibougamau,Prov6965,FallSMI,0.001327453,0.001287852,96,1.030749619,0.305248138,XFallSMI
Chibougamau,Prov6965,totalC:as.factor(Bloc)3,0.160839663,0.07566205,96,2.12576403,0.036089066,XtotalC:as.factor(Bloc)3
Chibougamau,Prov6965,totalC:as.factor(Bloc)4,0.115702736,0.037452563,96,3.089314223,0.002624308,XtotalC:as.factor(Bloc)4
Chibougamau,Prov6965,totalC:as.factor(Bloc)5,0.110430615,0.041099735,96,2.6868936,0.008500444,XtotalC:as.factor(Bloc)5
Chibougamau,Prov6965,s(Year):as.factor(Bloc)3Fx1,0.410063796,0.21878908,96,1.874242514,0.063937891,Xs(Year):as.factor(Bloc)3Fx1
Chibougamau,Prov6965,s(Year):as.factor(Bloc)4Fx1,0.51371184,0.224545366,96,2.287786423,0.02434459,Xs(Year):as.factor(Bloc)4Fx1
Chibougamau,Prov6965,s(Year):as.factor(Bloc)5Fx1,0.491465902,0.202249998,96,2.42999212,0.016957561,Xs(Year):as.factor(Bloc)5Fx1
Chibougamau,Prov6967,(Intercept),-0.119314975,0.2338381,96,-0.510246083,0.611050275,X(Intercept)
Chibougamau,Prov6967,prevSummerTemp,-0.000932309,0.001859468,96,-0.501385051,0.617247986,XprevSummerTemp
Chibougamau,Prov6967,prevFallTemp,0.000710571,0.001199024,96,0.592624239,0.554826049,XprevFallTemp
Chibougamau,Prov6967,WinterTemp,-0.000434833,0.000773547,96,-0.562128646,0.575338555,XWinterTemp
Chibougamau,Prov6967,SpringTemp,1.72E-05,0.000914223,96,0.01876613,0.985066621,XSpringTemp
Chibougamau,Prov6967,SummerTemp,0.003584752,0.001774612,96,2.020020288,0.046167937,XSummerTemp
Chibougamau,Prov6967,FallTemp,-0.000675352,0.001257297,96,-0.537146219,0.592409445,XFallTemp
Chibougamau,Prov6967,prevSummerSMI,-0.001243139,0.000533877,96,-2.328509279,0.021983363,XprevSummerSMI
Chibougamau,Prov6967,prevFallSMI,-0.000426685,0.001579191,96,-0.270191896,0.787592623,XprevFallSMI
Chibougamau,Prov6967,Snowfall,1.45E-05,2.67E-05,96,0.541726351,0.589262152,XSnowfall
Chibougamau,Prov6967,SpringSMI,-1.49E-05,0.000450808,96,-0.033033156,0.973716732,XSpringSMI
Chibougamau,Prov6967,SummerSMI,-0.000607311,0.00064218,96,-0.94570243,0.346674637,XSummerSMI
Chibougamau,Prov6967,FallSMI,0.001636105,0.001368863,96,1.195229223,0.234941773,XFallSMI
Chibougamau,Prov6967,totalC:as.factor(Bloc)3,0.17285897,0.065051721,96,2.657254375,0.009227733,XtotalC:as.factor(Bloc)3
Chibougamau,Prov6967,totalC:as.factor(Bloc)4,0.148525824,0.056532734,96,2.627253532,0.010020895,XtotalC:as.factor(Bloc)4
Chibougamau,Prov6967,totalC:as.factor(Bloc)5,0.128528781,0.038222257,96,3.362668486,0.001109879,XtotalC:as.factor(Bloc)5
Chibougamau,Prov6967,s(Year):as.factor(Bloc)3Fx1,0.521472598,0.243039661,96,2.145627569,0.034425008,Xs(Year):as.factor(Bloc)3Fx1
Chibougamau,Prov6967,s(Year):as.factor(Bloc)4Fx1,0.528605927,0.222267242,96,2.378244863,0.019375694,Xs(Year):as.factor(Bloc)4Fx1
